PassengerId,Survived,Pclass,Name,Sex,Age
1,0,3,"Braund, Mr. Owen Harris",male,22
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38
3,1,3,"Heikkinen, Miss. Laina",female,26
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35
5,0,3,"Allen, Mr. William Henry",male,35
6,0,3,"Moran, Mr. James",male,
7,0,1,"McCarthy, Mr. Timothy J",male,54
8,0,3,"Palsson, Master. Gosta Leonard",male,2
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4
12,1,1,"Bonnell, Miss. Elizabeth",female,58
13,0,3,"Saundercock, Mr. William Henry",male,20
14,0,3,"Andersson, Mr. Anders Johan",male,39
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55
17,0,3,"Rice, Master. Eugene",male,2
18,1,2,"Williams, Mr. Charles Eugene",male,
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31
20,1,3,"Masselmani, Mrs. Fatima",female,
